鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區七賢二路421~450號,9.23,商,,,1070312,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,132.31,2,1,1,有,有,6080000,60131,坡道機械,43.67,750000,預售屋,RPQOMLMJJHOFFAE47CA
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區七賢二路421~450號,8.16,商,,,1070625,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,127.50999999999999,2,1,1,有,有,6200000,55802,坡道平面,48.66,1800000,預售屋,RPROMLMJJHOFFAE57CA
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區七賢二路421~450號,8.16,商,,,1070319,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,122.52000000000001,2,1,1,有,有,5880000,62524,坡道機械,43.67,950000,預售屋，含裝潢,RPSOMLMJJHOFFAE67CA
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區七賢二路421~450號,8.16,商,,,1070222,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,128.77,2,1,1,有,有,6500000,64688,坡道平面,49.93,1400000,預售屋，含裝潢,RPTOMLMJJHOFFAE77CA
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區七賢二路421~450號,8.55,商,,,1070222,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,132.87,2,1,1,有,有,6500000,61490,坡道平面,49.93,1400000,預售屋,RPUOMLMJJHOFFAE87CA
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區七賢二路421~450號,15.41,商,,,1070121,土地1建物1車位1,一層,十五層,店面(店鋪),見其它登記事項,見其它登記事項,1071107,157.23,0,0,1,無,有,12200000,72028,其他,9.37,1550000,預售屋，含裝潢,RPVOMLMJJHOFFAE97CA
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區七賢二路421~450號,8.01,商,,,1070312,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,86.72,2,1,1,有,有,5550000,58185,其他,9.38,1050000,預售屋,RPWOMLMJJHOFFAE08CA
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區七賢二路421~450號,8.55,商,,,1070706,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,92.14,2,1,1,有,有,6000000,57395,其他,9.38,1250000,預售屋,RPXOMLMJJHOFFAE18CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區南屏路841~870號,18.07,商,,,1071107,土地1建物1車位1,十一層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951205,216.6,4,2,2,有,有,15000000,69252,坡道平面,26.88,0,,RPPNMLKMKINFFAE47CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東六街121~150號,12.22,商,,,1071115,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951101,142.41,3,2,2,有,有,7250000,50909,坡道平面,21.53,0,,RPOOMLRLKINFFAE08CA
