鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
北屯區,房地(土地+建物)+車位,臺中市北屯區太祥路211~240號,33.67,住,,,1071115,土地1建物1車位1,二層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061101,185.48000000000002,3,2,2,有,有,10000000,53914,坡道平面,18.56,0,,RPPOMLLLKINFFBB37CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太祥路211~240號,33.67,住,,,1071115,土地1建物1車位1,二層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061101,185.48000000000002,3,2,2,有,有,10000000,53914,坡道平面,18.56,0,,SPPOMLLLKINFFBB47CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太祥路211~240號,34.07,住,,,1071115,土地1建物1車位1,二層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061101,187.38,3,2,2,有,有,10000000,53367,坡道平面,18.56,0,,RPQOMLLLKINFFBB47CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太祥路211~240號,33.67,住,,,1071102,土地1建物1車位1,四層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061101,185.48000000000002,3,2,2,有,有,11000000,59306,坡道平面,18.56,0,,RPSOMLLLKINFFBB67CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太祥路211~240號,34.07,住,,,1071122,土地1建物1車位1,四層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061101,187.53,3,2,2,有,有,10000000,53325,坡道平面,18.56,0,,RPTOMLLLKINFFBB77CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太祥路211~240號,33.67,住,,,1071025,土地1建物1車位1,五層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061101,185.48000000000002,3,2,2,有,有,11000000,59306,坡道平面,18.56,0,,RPUOMLLLKINFFBB87CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太祥路211~240號,33.67,住,,,1071102,土地1建物1車位1,三層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061101,185.48000000000002,3,2,2,有,有,11000000,59306,坡道平面,18.56,0,,RPVOMLLLKINFFBB97CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太祥路211~240號,33.67,住,,,1071108,土地1建物1車位1,六層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061101,185.48000000000002,3,2,2,有,有,10000000,53914,坡道平面,18.56,0,,RPSPMLLLKINFFBB77CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太祥路211~240號,34.07,住,,,1071115,土地1建物1車位1,七層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061101,187.53,3,2,2,有,有,10000000,53325,坡道平面,18.56,0,,RPPQMLLLKINFFBB57CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太祥路211~240號,33.67,住,,,1071128,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061101,185.48000000000002,3,2,2,有,有,10800000,58227,坡道平面,18.56,0,,RPSQMLLLKINFFBB87CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太祥路211~240號,33.67,住,,,1071119,土地1建物1車位1,九層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061101,185.48000000000002,3,2,2,有,有,10000000,53914,坡道平面,18.56,0,,RPTQMLLLKINFFBB97CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太祥路211~240號,37.42,住,,,1071119,土地1建物1車位2,九層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061101,206.09,3,2,2,有,有,11500000,55801,坡道平面,37.12,0,,RPUQMLLLKINFFBB08CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太祥路211~240號,33.67,住,,,1071127,土地1建物1車位1,九層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061101,185.48000000000002,3,2,2,有,有,10000000,53914,坡道平面,18.56,0,,RPVQMLLLKINFFBB18CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太祥路211~240號,33.53,住,,,1071119,土地1建物1車位1,十層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061101,184.76,3,2,2,有,有,10000000,54124,坡道平面,18.56,0,,RPWQMLLLKINFFBB28CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太祥路211~240號,33.93,住,,,1071119,土地1建物1車位1,十層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061101,186.89,3,2,2,有,有,10000000,53507,坡道平面,18.56,0,,RPORMLLLKINFFBB57CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太祥路211~240號,34.07,住,,,1071129,土地1建物1車位1,三層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061101,187.53,3,2,2,有,有,9800000,52258,坡道平面,18.56,0,,RPQRMLLLKINFFBB77CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太祥路211~240號,34.07,住,,,1071130,土地1建物1車位1,七層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061101,187.53,3,2,2,有,有,11000000,58657,坡道平面,18.56,0,,RPRRMLLLKINFFBB87CA
北區,房地(土地+建物),臺中市北區健行路421~450號,3.96,住,,,1071213,土地1建物1車位0,五層,十六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840526,35.39,1,0,1,有,有,1700000,48036,,0.0,0,,RPTOMLMLKINFFBB87CA
北屯區,房地(土地+建物)+車位,臺中市北屯區軍福十五路301~330號,20.37,商,,,1050809,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070907,189.39,4,2,2,有,有,9850000,54223,坡道平面,32.63,1350000,,RPXOMLMLKINFFBB28CA
北屯區,房地(土地+建物)+車位,臺中市北屯區軍福十五路301~330號,20.37,商,,,1041009,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070907,188.48000000000002,4,2,2,有,有,9060000,50112,坡道平面,32.63,1250000,,RPOPMLMLKINFFBB47CA
北區,車位,臺中市北區梅川西路四段121~150號,0.0,,,,1071206,土地0建物0車位1,地下二層,十七層,其他,見其他登記事項,鋼筋混凝土造,0831122,25.48,0,0,0,有,有,1150000,,坡道平面,0.0,0,,RPPPMLMLKINFFBB57CA
北屯區,土地,景東段61~90地號,443.91,住,,,1071101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,46998000,105873,,0.0,0,,RPOQMLMLKINFFBB57CA
北屯區,房地(土地+建物)+車位,臺中市北屯區文心路四段661~690號,9.64,商,,,1071125,土地1建物1車位1,十八層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840415,142.56,3,2,2,有,有,8450000,59273,坡道機械,0.0,0,,RPWQMLMLKINFFBB38CA
北屯區,房地(土地+建物)+車位,臺中市北屯區庄美街151~180號,26.52,住,,,1071027,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050523,153.2,3,2,2,有,有,11700000,76371,坡道平面,28.12,0,,RPXQMLMLKINFFBB48CA
北屯區,房地(土地+建物),臺中市北屯區太和五街31~60號,221.71,住,,,1071122,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1040212,415.24,6,2,7,有,無,39800000,95848,,0.0,0,,RPTNMLOLKINFFBB97CA
北區,房地(土地+建物),臺中市北區大義街29巷31~60號,19.2,住,,,1070721,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0771231,90.06,4,4,4,有,有,5720000,63513,,0.0,0,含增建或未登記建物。,RPUPMLOLKINFFBB28CA
北屯區,房地(土地+建物),臺中市北屯區景賢九路61~90號,109.36,住,,,1071104,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0950127,307.98,4,3,3,有,有,20000000,64939,,0.0,0,,RPVPMLOLKINFFBB38CA
北屯區,車位,臺中市北屯區崇德二路二段61~90號,9.71,住,,,1071117,土地0建物0車位2,地下一層,十七層,其他,商業用,鋼筋混凝土造,0791212,70.52,0,0,0,有,有,600000,,坡道平面,70.52,600000,,RPTQMLPLKINFFBB38CA
北區,房地(土地+建物),臺中市北區漢口路四段91~120號,2.41,住,,,1071202,土地1建物1車位0,六層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850716,33.44,1,1,1,有,有,1650000,49342,,0.0,0,,RPOTMLPLKINFFBB18CA
北屯區,房地(土地+建物),臺中市北屯區文心路四段811~840號,1.77,商,,,1071202,土地1建物1車位0,二十層,二十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850627,31.94,1,0,1,有,有,1400000,43832,,0.0,0,,RPPOMLQLKINFFBB87CA
北區,房地(土地+建物),臺中市北區北平路二段1~30號,2.7,商,,,1071212,土地1建物1車位0,二層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850829,15.07,1,0,1,有,無,200000,13271,,0.0,0,此產權建物所有權僅有1/2,RPOPMLQLKINFFBB87CA
北屯區,房地(土地+建物),臺中市北屯區文心路四段931~960號,25.62,住,,,1071005,土地1建物2車位0,八層,二十六層,辦公商業大樓,商業用,鋼骨混凝土造,0820112,316.97,0,0,0,無,有,10780000,34010,,0.0,0,,RPRPMLQLKINFFBB18CA
北屯區,房地(土地+建物)+車位,臺中市北屯區東山路一段181~210號,61.0,住,,,1071029,土地1建物1車位1,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0821207,110.67,4,2,2,有,無,5680000,51324,一樓平面,0.0,0,,RPUTMLQLKINFFBB88CA
北屯區,房地(土地+建物)+車位,臺中市北屯區松竹五路二段31~60號,22.14,住,,,1071113,土地2建物1車位2,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030423,208.63,3,2,2,有,有,8820000,42276,坡道平面,75.4,0,,RPOQMLRLKINFFBB08CA
北屯區,房地(土地+建物)+車位,臺中市北屯區軍和街1~30號,29.32,住,,,1071203,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0801226,194.77,4,2,2,有,有,7850000,43420,坡道平面,37.01,1000000,含增建或未登記建物。,RPUNMLTLKINFFBB58CA
北區,房地(土地+建物),臺中市北區梅亭街61~90號,20.91,住,,,1071128,土地2建物1車位0,一層，騎樓，地下層,七層,店面(店鋪),商業用,鋼筋混凝土造,0800620,117.81,2,1,2,有,有,6500000,55174,,0.0,0,,RPORMLMJJHOFFBB37CA
北屯區,房地(土地+建物),臺中市北屯區和祥五街1~30號,167.49,住,,,1071121,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1020115,362.67,5,4,7,有,無,34300000,94576,,0.0,0,,RPUTMLOJJHOFFBB38CA
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德五路146巷1~30號,42.13,住,,,1071127,土地1建物1車位1,全,十六層,透天厝,住商用,鋼筋混凝土造,0801207,309.5,3,2,3,有,有,10000000,32310,坡道平面,11.14,0,"為集合住宅之透天,有單獨出入口",RPSNMLRJJHOFFBB87CA
北區,房地(土地+建物),臺中市北區英才路170巷1~30號,34.07,住,,,1071130,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700804,88.3,3,2,2,有,無,2900000,32843,,0.0,0,,RPOOMLRJJHOFFBB57CA
北屯區,房地(土地+建物),臺中市北屯區崇德路三段91~120號,653.97,商,,,1070919,土地0建物1車位0,一層，二層，三層，四層，五層，地下一層，見其他登記事項,五層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1050608,2033.35,0,0,0,無,無,250000000,122950,,0.0,0,土地及建物價格分拆比率為72.7%：27.3%,RPTOMLRJJHOFFBB08CA
北屯區,房地(土地+建物),臺中市北屯區青島路三段211~240號,17.85,商,,,1071119,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0760527,98.64,3,2,1,有,有,4200000,42579,,0.0,0,,RPVPMLRJJHOFFBB38CA
北屯區,建物,臺中市北屯區和祥七街91~120號,0.0,,,,1071210,土地0建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1030813,341.27,5,3,6,有,無,10650000,31207,,0.0,0,,RPROMLTJJHOFFBB08CA
北屯區,建物,臺中市北屯區和祥七街121~150號,0.0,,,,1071210,土地0建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1030813,346.13,5,3,6,有,無,10650000,30769,,0.0,0,,SPROMLTJJHOFFBB18CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太原路三段1351~1380號,21.21,住,,,1071120,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041228,147.36,3,1,1,有,有,7600000,51574,坡道平面,25.81,0,,RPQPMLTJJHOFFBB08CA
北屯區,房地(土地+建物)+車位,臺中市北屯區大連北街1~30號,16.24,住,,,1071122,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810817,127.85,3,2,2,有,有,5900000,46148,升降機械,0.0,0,,RPSOMLKKJHOFFBB37CA
北屯區,房地(土地+建物),臺中市北屯區軍福十九路91~120號,214.32,住,,,1071115,土地2建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1030818,472.46,7,3,8,有,有,63200000,133768,,0.0,0,,RPQNMLLKJHOFFBB17CA
北屯區,房地(土地+建物),臺中市北屯區軍福十九路91~120號,254.76,住,,,1071115,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1030818,504.13,7,3,8,有,有,63200000,125364,,0.0,0,,RPRNMLLKJHOFFBB27CA
北屯區,土地,溝背段91~120地號,500.0,住,,,1071029,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,78650000,157300,,0.0,0,,RPQOMLLKJHOFFBB27CA
北屯區,土地,溝背段91~120地號,2089.45,住,,,1071027,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,328666000,157298,,0.0,0,,RPROMLLKJHOFFBB37CA
北屯區,土地,溝背段61~90地號,1823.68,住,,,1071119,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,336500000,184517,,0.0,0,,RPSOMLLKJHOFFBB47CA
北屯區,房地(土地+建物),臺中市北屯區天津路三段31~60號,21.07,住,,,1071118,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720824,72.9,3,2,2,有,無,3580000,49108,,0.0,0,權利人共兩人,RPRQMLLKJHOFFBB57CA
北區,房地(土地+建物),臺中市北區三民路三段211~240號,2.52,商,,,1071114,土地2建物1車位0,十三層,十三層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0880623,38.22,1,0,1,有,有,2150000,56253,,0.0,0,,RPRRMLLKJHOFFBB67CA
北區,房地(土地+建物),臺中市北區尚德街91~120號,103.0,住,,,1071115,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0580517,163.44,14,0,14,有,無,17000000,104014,,0.0,0,,RPTRMLLKJHOFFBB87CA
北屯區,房地(土地+建物)+車位,臺中市北屯區祥順六街121~150號,20.01,住,,,1071107,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050304,110.56,2,2,1,有,有,5700000,51556,坡道平面,0.0,0,,RPVRMLLKJHOFFBB08CA
北區,房地(土地+建物),臺中市北區瑞祥街30巷1~30號,27.15,住,,,1070915,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701207,110.07,4,2,4,有,有,5900000,53602,,0.0,0,,RPPQMLOKJHOFFBB67CA
北區,房地(土地+建物),臺中市北區中清路一段631~660號,8.58,住,,,1071018,土地1建物1車位0,十一層，十二層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880616,104.31,2,1,2,有,有,4000000,38347,,0.0,0,,RPXPMLPKJHOFFBB48CA
北屯區,房地(土地+建物)+車位,臺中市北屯區軍和街301~330號,88.0,住,,,1071205,土地1建物1車位1,全,一層,透天厝,商業用,磚造,,46.4,3,2,1,有,無,6100000,131466,一樓平面,0.0,0,,RPXQMLQKJHOFFBB68CA
北屯區,房地(土地+建物)+車位,臺中市北屯區松竹路二段178巷31~60號,46.41,住,,,1071120,土地2建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060218,242.74,4,2,2,有,有,18880000,79607,坡道平面,23.16,1400000,,RPRQMLQKJHOFFBB08CA
南屯區,房地(土地+建物)+車位,臺中市南屯區公益路二段601~630號,13.73,住,,,1071108,土地1建物1車位1,十三層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860715,190.75,4,2,2,有,有,14000000,73394,坡道機械,23.51,0,,RPWNMLMLKINFFCB18CA
