鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
觀音區,房地(土地+建物)+車位,桃園市觀音區福祥街31~60號,31.18,住,,,1071030,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070820,97.42,2,1,2,有,無,6380000,65658,升降機械,10.15,650000,,RPWPMLMJJHOFFBH58CA
中壢區,土地,大江段691~720地號,752.68,農,,,1071113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7075223,9400,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUQMLMJJHOFFBH48CA
中壢區,房地(土地+建物),桃園市中壢區山錦路430巷1~30號,105.39,,特定農業區,甲種建築用地,1071112,土地3建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1030929,226.63,5,5,3,有,有,8500000,37506,,0.0,0,,RPSPMLRLKINFFBH98CA
中壢區,房地(土地+建物)+車位,桃園市中壢區青商路61~90號,28.45,住,,,1071115,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020828,183.22,3,2,2,有,有,9500000,51850,坡道平面,0.0,0,含增建或未登記建物。;,RPUQMLSLKINFFBH76CA
中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段331~360號,33.59,住,,,1071201,土地1建物1車位2,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040408,255.68,4,2,2,有,有,17000000,66489,坡道平面,62.22,0,,RPVNMLSJJHOFFBH88CA
中壢區,房地(土地+建物),桃園市中壢區富村街61~90號,23.19,住,,,1071121,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870701,125.92999999999999,3,2,2,有,有,4500000,35734,,0.0,0,,RPXPMLKKJHOFFBH58CA
中壢區,房地(土地+建物)+車位,桃園市中壢區環北路331~360號,6.87,住,,,1071128,土地1建物1車位1,十五層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980629,115.16999999999999,2,1,1,有,有,9100000,79014,坡道平面,0.0,0,,RPPQMLKKJHOFFBH87CA
中壢區,房地(土地+建物),桃園市中壢區福壽十一街2巷1~30號,43.38,住,,,1071125,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0991122,199.94,3,3,2,有,有,10200000,51015,,0.0,0,,RPTRMLLKJHOFFBH48CA
中壢區,房地(土地+建物)+車位,桃園市中壢區興仁路二段331~360號,26.73,住,,,1071119,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070926,156.81,3,2,2,有,有,7560000,48334,坡道平面,26.26,1250000,,RPVRMLLKJHOFFBH68CA
中壢區,房地(土地+建物)+車位,桃園市中壢區興仁路二段331~360號,22.86,住,,,1071018,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070926,137.91,3,2,2,有,有,6500000,47022,坡道平面,26.26,1250000,土地及建物分次登記案件。前案土地登記收件字號：;,RPWRMLLKJHOFFBH78CA
中壢區,房地(土地+建物)+車位,桃園市中壢區興仁路二段331~360號,22.86,住,,,1071018,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070926,137.91,3,2,2,有,無,6250000,45678,坡道平面,26.26,1150000,土地及建物分次登記案件。前案土地登記收件字號：;,RPOSMLLKJHOFFBH08CA
中壢區,房地(土地+建物)+車位,桃園市中壢區興仁路二段331~360號,26.73,住,,,1071018,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070926,157.01,3,2,2,有,有,7700000,50096,坡道平面,26.26,1150000,土地及建物分次登記案件。前案土地登記收件字號：;,RPPSMLLKJHOFFBH18CA
中壢區,房地(土地+建物)+車位,桃園市中壢區興仁路二段331~360號,17.94,住,,,1071018,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070926,113.53999999999999,2,1,1,有,有,5530000,49038,坡道平面,26.26,1250000,土地及建物分次登記案件。前案土地登記收件字號：;,RPQSMLLKJHOFFBH28CA
中壢區,房地(土地+建物)+車位,桃園市中壢區興仁路二段331~360號,23.21,住,,,1071018,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070926,139.19,3,2,2,有,有,6750000,49588,坡道平面,26.26,1150000,土地及建物分次登記案件。前案土地登記收件字號：;,RPSSMLLKJHOFFBH48CA
觀音區,土地,草富段481~510地號,34.49,住,,,1071109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,14497,,0.0,0,,RPUNMLOKJHOFFBH48CA
中壢區,土地,廣青段61~90地號,425.83,農,,,1071129,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13500000,31703,,0.0,0,含未辦理保存登記建物,RPOQMLOKJHOFFBH18CA
中壢區,房地(土地+建物),桃園市中壢區金鋒五街31~60號,11.75,住,,,1071120,土地1建物1車位0,一層，地下一層,十六層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0831008,101.72,3,1,1,有,有,5000000,49155,,0.0,0,,RPSPMLRKJHOFFBH78CA
